,filename,dbcount,premean,premedian,prestd,presem,postmean,postmedian,poststd,postsem,nstim
0,data_20140725_170241_46170_compute-0-2.local.h5,70,0.6597222222222222,0.0,1.1718428493532087,0.35332391314232364,32.88194444444444,33.125,6.404250101868598,1.930954059226681,12
1,data_20140725_170241_53507_compute-0-3.local.h5,70,7.33974358974359,1.6666666666666667,10.313642401808075,2.9772921085047153,37.21153846153846,34.583333333333336,8.81823912257315,2.545606365598049,13
2,data_20140725_170241_59649_compute-0-1.local.h5,70,0.7954545454545454,0.0,1.3349250141444011,0.4221403550228798,24.621212121212125,25.416666666666668,11.008855689001797,3.4813058409347954,11
3,data_20140725_170241_60010_compute-0-4.local.h5,70,1.2777777777777777,0.0,2.228117181128386,0.5954893649547828,24.861111111111107,27.5,8.396519708181273,2.2440642849506744,15
4,data_20140725_170241_77328_compute-0-0.local.h5,70,16.28472222222222,1.0416666666666667,33.096580372150946,9.978994448933252,34.027777777777786,27.916666666666668,17.65173416794516,5.3221981031063965,12
5,data_20140725_173200_47257_compute-0-2.local.h5,70,6.845238095238096,1.0416666666666667,18.257224519776628,5.06364301182408,28.720238095238095,28.333333333333336,7.8101612145511385,2.166148979131095,14
6,data_20140725_173200_47258_compute-0-2.local.h5,70,2.291666666666667,2.0833333333333335,2.4796626487996005,0.7476464193388265,27.951388888888886,29.583333333333336,6.420044054644816,1.9357161151644358,12
7,data_20140725_173200_54594_compute-0-3.local.h5,70,7.055555555555556,1.25,18.929979815162753,5.0592499147775225,30.72222222222222,32.5,11.551481653669445,3.0872633326882815,15
8,data_20140725_173200_54595_compute-0-3.local.h5,70,4.088541666666667,0.4166666666666667,11.755815225804797,3.035338439375571,27.395833333333336,23.541666666666668,16.039299067706587,4.141329211604518,16
9,data_20140725_173200_60857_compute-0-1.local.h5,70,0.7291666666666666,0.4166666666666667,0.8180013187076213,0.24663667746991866,31.736111111111114,33.125,8.33130762416051,2.511983763851609,12
10,data_20140725_173200_60858_compute-0-1.local.h5,70,12.948717948717949,1.25,27.89224033680187,8.051796233377148,30.60897435897436,28.75,16.30670201395709,4.707339398676568,13
11,data_20140725_173200_61096_compute-0-4.local.h5,70,2.7083333333333335,0.625,3.84335947278381,1.1588164823347313,36.458333333333336,37.91666666666667,14.500259416581075,4.371992713419738,12
12,data_20140725_173200_61097_compute-0-4.local.h5,70,6.3611111111111125,0.4166666666666667,18.0633316588409,4.827628452217833,30.166666666666664,28.333333333333336,7.617596588017626,2.035888324501437,15
13,data_20140725_173200_78536_compute-0-0.local.h5,70,1.9871794871794874,1.6666666666666667,2.4358974358974357,0.7031830201668519,41.666666666666664,41.66666666666667,4.520253566747369,1.3048848067834797,13
14,data_20140725_173200_78537_compute-0-0.local.h5,70,1.931818181818182,0.8333333333333334,2.4954044078788797,0.7891161612121085,31.174242424242426,29.166666666666668,6.857629989474762,2.1685730117416755,11
15,data_20140722_224200_172254_compute-0-4.local.h5,40,14.67948717948718,2.0833333333333335,37.84039025670521,10.923579750474623,54.00641025641026,50.41666666666667,30.241433440157074,8.72994986867742,13
16,data_20140722_224333_158822_compute-0-2.local.h5,40,0.4166666666666667,0.0,0.8171505630757668,0.23589104878012415,35.44871794871795,35.833333333333336,19.193446688707112,5.5406708062008905,13
17,data_20140722_224333_166161_compute-0-3.local.h5,40,0.7142857142857143,0.4166666666666667,1.0378330817953985,0.2878431070604709,28.154761904761905,28.125,14.11291824716799,3.9142192605073505,14
18,data_20140722_224333_171891_compute-0-1.local.h5,40,2.194444444444444,1.25,2.502159561086344,0.6687302717589829,41.861111111111114,47.5,19.105498206757005,5.106159178093474,15
19,data_20140722_224333_172425_compute-0-4.local.h5,40,4.0625,0.625,7.5941715132213226,2.289728863905511,32.95138888888889,31.66666666666667,16.83376162592292,5.075570102133581,12
20,data_20140722_224333_172426_compute-0-4.local.h5,40,6.08974358974359,1.6666666666666667,9.135346349521008,2.637147337018209,46.92307692307692,42.91666666666667,29.403588317026202,8.488084814988007,13
21,data_20140722_224333_189411_compute-0-0.local.h5,40,3.298611111111111,0.0,8.790347342643578,2.6503894465860363,33.263888888888886,35.0,16.57337896845718,4.997061776976354,12
22,data_20140824_120541_32136_compute-0-34.local.h5,40,11.25,0.625,34.08059959153475,10.275687406860024,47.46527777777778,49.583333333333336,37.67338709610818,11.358953598146146,12
23,data_20140824_120610_32276_compute-0-34.local.h5,40,17.348484848484848,0.8333333333333334,40.834984786978936,12.913156014517911,36.66666666666667,29.583333333333336,26.216007331476707,8.290229432313925,11
24,data_20140824_120757_32478_compute-0-34.local.h5,40,7.916666666666667,1.25,14.06725742572025,4.241437700950443,47.74305555555555,48.333333333333336,16.440706395246263,4.9570594910389385,12
25,data_20140824_120810_32061_compute-0-35.local.h5,40,27.98076923076923,2.0833333333333335,51.94734712925443,14.99590742438099,48.333333333333336,34.583333333333336,46.98409669111818,13.563140436124243,13
26,data_20140824_120817_32185_compute-0-35.local.h5,40,4.722222222222222,0.20833333333333334,8.850829981308234,2.6686256482934283,42.32638888888889,42.29166666666667,26.606626383580316,8.022199695591501,12
27,data_20140525_130513_20265.h5,80,3.7847222222222228,1.0416666666666667,6.094022034130591,1.8374167773972325,27.534722222222225,28.125,5.759599307425716,1.7365845314110835,12
28,data_20140526_110240_20695.h5,80,1.185897435897436,0.4166666666666667,1.624845109696997,0.4690523807375041,25.224358974358974,25.833333333333336,4.297980122812887,1.2407199904388404,13
