,filename,dbcount,frac_mean,frac_median,frac_iqr,frac_sem,ibi_mean,ibi_median,ibi_iqr,ibi_sem
0,data_20140725_170241_46170_compute-0-2.local.h5,70,0.37040229885057474,0.3333333333333333,0.1541666666666667,0.030316408102694765,0.6144642857142726,0.5099999999999891,0.2749999999999948,0.0666211845278284
1,data_20140725_170241_53507_compute-0-3.local.h5,70,0.39012345679012345,0.35833333333333334,0.175,0.026308307907215372,0.6146153846153715,0.637499999999986,0.33999999999999475,0.04347494687652975
2,data_20140725_170241_59649_compute-0-1.local.h5,70,0.6489583333333333,0.6812499999999999,0.1468750000000001,0.022915388973520828,0.5008571428571321,0.48499999999998966,0.15749999999999575,0.026807347006770132
3,data_20140725_170241_60010_compute-0-4.local.h5,70,0.7893817204301076,0.85,0.11875000000000013,0.031500838388976035,0.5769999999999877,0.5449999999999893,0.17999999999999616,0.02794658287255955
4,data_20140725_170241_77328_compute-0-0.local.h5,70,0.5397435897435897,0.5291666666666667,0.1791666666666667,0.02755739987970425,0.4519736842105167,0.4324999999999912,0.13249999999999673,0.017132173273816234
5,data_20140725_173200_47257_compute-0-2.local.h5,70,0.4074561403508772,0.2875,0.1708333333333334,0.04994268456673608,0.9372222222222023,0.8349999999999831,0.3337499999999922,0.10084222309072238
6,data_20140725_173200_47258_compute-0-2.local.h5,70,0.5638157894736842,0.5958333333333333,0.3791666666666667,0.05299954622192374,0.9108333333333137,0.6449999999999863,0.6049999999999869,0.16789364533474657
7,data_20140725_173200_54594_compute-0-3.local.h5,70,0.6468749999999999,0.6895833333333333,0.18437500000000007,0.03543554650321871,0.6488888888888751,0.6449999999999863,0.2924999999999933,0.06007493737545308
8,data_20140725_173200_54595_compute-0-3.local.h5,70,0.6023989898989899,0.6375,0.25833333333333336,0.034628043190145084,0.5359374999999885,0.48999999999999044,0.1462499999999971,0.03725757493612417
9,data_20140725_173200_60857_compute-0-1.local.h5,70,0.4640804597701149,0.39166666666666666,0.23333333333333328,0.03652573454967206,0.587321428571416,0.4674999999999896,0.4387499999999904,0.05239343060245886
10,data_20140725_173200_60858_compute-0-1.local.h5,70,0.7368279569892473,0.7541666666666667,0.13541666666666674,0.026105412499336456,0.5791666666666544,0.5674999999999875,0.12124999999999764,0.019879064441394523
11,data_20140725_173200_61096_compute-0-4.local.h5,70,0.7413461538461538,0.8208333333333333,0.12812500000000016,0.043027100308372465,0.6875999999999852,0.6399999999999864,0.1449999999999978,0.044221148786524264
12,data_20140725_173200_61097_compute-0-4.local.h5,70,0.5024691358024691,0.5333333333333333,0.3291666666666668,0.036841492735456,0.679038461538447,0.5749999999999882,0.29624999999999435,0.058971974589478546
13,data_20140725_173200_78536_compute-0-0.local.h5,70,0.34635416666666663,0.29375,0.054166666666666696,0.05183534712727942,2.019999999999957,1.739999999999963,0.9674999999999785,0.34045837449224176
14,data_20140725_173200_78537_compute-0-0.local.h5,70,0.2753205128205128,0.25416666666666665,0.07083333333333336,0.025889884762712204,1.4029166666666366,1.4174999999999698,1.267499999999973,0.2456750581910365
15,data_20140722_224200_172254_compute-0-4.local.h5,40,0.8186868686868688,0.8458333333333333,0.050000000000000044,0.01892378881518234,0.5471874999999884,0.5249999999999879,0.21124999999999572,0.027176374253021548
16,data_20140722_224333_158822_compute-0-2.local.h5,40,0.8576041666666668,0.8583333333333333,0.03125,0.00500597821918071,0.4551282051281954,0.4349999999999907,0.09499999999999842,0.012888349543824344
17,data_20140722_224333_166161_compute-0-3.local.h5,40,0.8911616161616163,0.8833333333333333,0.04999999999999993,0.006151254820045795,0.5451562499999884,0.5474999999999879,0.10749999999999815,0.02170467605032561
18,data_20140722_224333_171891_compute-0-1.local.h5,40,0.7435283687943263,0.7583333333333333,0.09583333333333333,0.01468187190049492,0.385869565217383,0.3799999999999919,0.10249999999999782,0.014070478523828239
19,data_20140722_224333_172425_compute-0-4.local.h5,40,0.7900193798449612,0.8166666666666667,0.060416666666666674,0.02025267757546415,0.4216666666666577,0.3499999999999934,0.17374999999999696,0.01875298401858288
20,data_20140722_224333_172426_compute-0-4.local.h5,40,0.7701754385964911,0.7791666666666667,0.05729166666666674,0.012133604322510285,0.4808108108108006,0.4549999999999903,0.11499999999999577,0.021043100266490256
21,data_20140722_224333_189411_compute-0-0.local.h5,40,0.8471296296296297,0.8416666666666667,0.033333333333333326,0.0040747914122073944,0.3990909090909005,0.3949999999999916,0.04999999999999849,0.01156180277855871
22,data_20140824_120541_32136_compute-0-34.local.h5,40,0.8798469387755101,0.8833333333333333,0.029166666666666674,0.003281347155041139,0.3639583333333256,0.3699999999999921,0.061249999999998916,0.00772699963408512
23,data_20140824_120610_32276_compute-0-34.local.h5,40,0.640625,0.7,0.14270833333333333,0.031018487670757773,0.650925925925912,0.6449999999999863,0.20999999999999597,0.02655161752043232
24,data_20140824_120757_32478_compute-0-34.local.h5,40,0.8208333333333333,0.8125,0.054166666666666585,0.006526459837564671,0.486944444444434,0.5074999999999887,0.08499999999999908,0.019145721244583414
25,data_20140824_120810_32061_compute-0-35.local.h5,40,0.902125850340136,0.9041666666666667,0.03750000000000009,0.0035154392041263183,0.3648958333333256,0.3799999999999919,0.08249999999999802,0.007177600078927739
26,data_20140824_120817_32185_compute-0-35.local.h5,40,0.7811728395061729,0.8166666666666667,0.060416666666666674,0.02338627909978564,0.6496153846153708,0.5874999999999879,0.1737499999999974,0.04464554683359723
27,data_20140525_130513_20265.h5,80,0.2236111111111111,0.21875,0.021874999999999978,0.007109157717816516,2.5279999999999463,1.7649999999999633,0.27499999999999414,0.835231405060879
28,data_20140526_110240_20695.h5,80,0.375462962962963,0.2625,0.29999999999999993,0.06492756397016707,1.634374999999965,1.1499999999999755,0.9974999999999785,0.5768908641991259
29,data_20140527_101534_21120.h5,80,0.31901041666666663,0.2833333333333333,0.0697916666666667,0.027750353110442688,0.5606451612903106,0.49999999999998934,0.30999999999999384,0.0443330151590262
30,data_20140528_082350_21537.h5,80,0.4047222222222222,0.32708333333333334,0.16145833333333326,0.0381676063841661,0.5810344827586083,0.5199999999999889,0.26499999999999435,0.044160463191157864
31,data_20140529_061537_21860.h5,80,0.32413194444444443,0.28125,0.09270833333333334,0.02636302822443785,0.7449999999999841,0.5799999999999876,0.5474999999999892,0.08675985665774473
32,data_20140825_112944_135777_compute-0-0.local.h5,80,0.39731182795698916,0.3416666666666667,0.2104166666666667,0.03578179818508501,0.5781666666666544,0.41999999999998927,0.5249999999999868,0.06559562789140184
33,data_20140825_112953_135901_compute-0-0.local.h5,80,0.33530092592592586,0.3104166666666667,0.12083333333333335,0.018667503783483447,0.49885714285713234,0.43499999999998984,0.18249999999999522,0.03710369622705296
34,data_20140825_113008_118292_compute-0-1.local.h5,80,0.4405092592592592,0.3291666666666667,0.46041666666666675,0.05667660343516241,0.9973529411764493,0.9549999999999796,0.6149999999999878,0.09928246028586729
35,data_20140825_113020_118416_compute-0-1.local.h5,80,0.37261904761904757,0.30625,0.24479166666666674,0.04625330872424152,1.2923076923076648,1.084999999999976,0.8749999999999822,0.2482132402255602
36,data_20140825_113047_105368_compute-0-2.local.h5,80,0.5089646464646465,0.5833333333333334,0.3833333333333333,0.03778612139384389,0.5217187499999889,0.4624999999999906,0.27374999999999483,0.0378642320575022
37,data_20140721_113042_100163_compute-0-1.local.h5,50,0.6282520325203252,0.625,0.11249999999999993,0.01539654270173565,0.43162499999999077,0.40499999999999137,0.13749999999999707,0.018845175111947995
38,data_20140721_115856_101223_compute-0-1.local.h5,50,0.6520833333333333,0.7416666666666667,0.11770833333333341,0.04623676118409811,0.8865789473684023,0.7199999999999847,0.5649999999999871,0.16217502486149402
