filename,gabascale,frac_mean,frac_med,frac_iqr
data_20141022_201357_134170_compute-0-17.local.h5,1.1,0.74754901960784315,0.74791666666666667,0.076041666666666563
data_20141022_201021_133921_compute-0-17.local.h5,1.1,0.49618794326241128,0.45000000000000001,0.34166666666666667
data_20141022_144309_117307_compute-0-59.local.h5,0.6,0.86501736111111105,0.86250000000000004,0.034374999999999933
data_20141022_143918_116818_compute-0-59.local.h5,0.7,0.90544871794871817,0.90416666666666667,0.022916666666666585
data_20141022_144254_117186_compute-0-59.local.h5,0.7,0.92063492063492036,0.92291666666666661,0.025000000000000022
data_20141022_143933_116944_compute-0-59.local.h5,0.6,0.89343971631205688,0.89583333333333337,0.03125
data_20141022_143929_53123_compute-0-57.local.h5,0.6,0.89912790697674427,0.90000000000000002,0.022916666666666585
data_20141022_143915_52967_compute-0-57.local.h5,0.7,0.78518518518518521,0.82499999999999996,0.058333333333333348
data_20141022_144251_53460_compute-0-57.local.h5,0.7,0.80115740740740737,0.81041666666666667,0.06770833333333337
data_20141022_144306_53618_compute-0-57.local.h5,0.6,0.88324275362318816,0.88124999999999998,0.023958333333333304
data_20141022_144245_22773_compute-0-55.local.h5,0.7,0.87083333333333335,0.86875000000000002,0.028125000000000067
data_20141022_143923_22403_compute-0-55.local.h5,0.6,0.88558558558558553,0.88749999999999996,0.016666666666666718
data_20141022_144300_22899_compute-0-55.local.h5,0.6,0.86751700680272104,0.87083333333333335,0.037499999999999978
data_20141022_143909_22279_compute-0-55.local.h5,0.7,0.77195945945945943,0.77083333333333337,0.079166666666666718
data_20141022_143851_9872_compute-0-42.local.h5,0.8,0.88688725490196085,0.88958333333333339,0.059374999999999956
data_20141022_144227_10257_compute-0-42.local.h5,0.8,0.78440170940170939,0.76249999999999996,0.07291666666666663
data_20141022_143920_10632_compute-0-53.local.h5,0.6,0.88263888888888886,0.8833333333333333,0.026041666666666741
data_20141022_144257_11121_compute-0-53.local.h5,0.6,0.91912393162393158,0.9375,0.025000000000000022
data_20141022_144242_10981_compute-0-53.local.h5,0.7,0.92026515151515131,0.91666666666666663,0.016666666666666718
data_20141022_143906_10489_compute-0-53.local.h5,0.7,0.78298611111111116,0.77916666666666667,0.069791666666666585
data_20141022_144248_27518_compute-0-56.local.h5,0.7,0.8583333333333335,0.85416666666666663,0.037499999999999978
data_20141022_143927_27183_compute-0-56.local.h5,0.6,0.74157608695652188,0.73958333333333337,0.044791666666666563
data_20141022_144303_27676_compute-0-56.local.h5,0.6,0.92871621621621636,0.92500000000000004,0.016666666666666718
data_20141022_143912_27027_compute-0-56.local.h5,0.7,0.90253623188405785,0.90833333333333333,0.040624999999999911
data_20141022_144218_24822_compute-0-35.local.h5,0.9,0.78666666666666674,0.8125,0.12499999999999989
data_20141022_143842_24456_compute-0-35.local.h5,0.9,0.7221813725490196,0.73958333333333337,0.109375
data_20141022_143821_19542_compute-0-15.local.h5,1.1,0.62830882352941175,0.72499999999999998,0.25520833333333337
data_20141022_144157_19941_compute-0-15.local.h5,1.1,0.37938596491228072,0.3125,0.14374999999999999
