filename	gaba_sd	ampa_sd	nmda_sd	em_sd	deepbasket_count	stimulated	tcr_spiked	simtime
data_20140722_224333_158822_compute-0-2.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_166161_compute-0-3.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_171891_compute-0-1.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_172425_compute-0-4.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_172426_compute-0-4.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140722_224333_189411_compute-0-0.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140724_125424_236053_compute-0-2.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140724_125424_243375_compute-0-3.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140724_125424_3938_compute-0-1.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140724_125424_4784_compute-0-4.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140724_125424_6704_compute-0-5.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140724_125424_6705_compute-0-5.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140725_170241_46170_compute-0-2.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_170241_53507_compute-0-3.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_170241_59649_compute-0-1.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_170241_60010_compute-0-4.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_170241_77328_compute-0-0.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_47257_compute-0-2.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_47258_compute-0-2.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_54594_compute-0-3.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_54595_compute-0-3.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_60857_compute-0-1.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_60858_compute-0-1.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_61096_compute-0-4.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_61097_compute-0-4.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_78536_compute-0-0.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140725_173200_78537_compute-0-0.local.h5	0.1	0.1	0.1	0.05	70	True	True	20.0
data_20140731_154821_113639_compute-0-0.local.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140731_154822_82089_compute-0-2.local.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140731_154822_82090_compute-0-2.local.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140731_154822_89440_compute-0-3.local.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140731_154822_95924_compute-0-1.local.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140731_154822_95930_compute-0-4.local.h5	0.1	0.1	0.1	0.05	60	True	True	20.0
data_20140824_115703_32126_compute-0-31.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140824_120313_32666_compute-0-31.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140824_120430_74494_compute-0-32.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140824_120439_74618_compute-0-32.local.h5	0.1	0.1	0.1	0.05	30	True	True	20.0
data_20140824_120541_32136_compute-0-34.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140824_120610_32276_compute-0-34.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140824_120757_32478_compute-0-34.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140824_120810_32061_compute-0-35.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140824_120817_32185_compute-0-35.local.h5	0.1	0.1	0.1	0.05	40	True	True	20.0
data_20140825_112944_135777_compute-0-0.local.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
data_20140825_112953_135901_compute-0-0.local.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
data_20140825_113008_118292_compute-0-1.local.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
data_20140825_113020_118416_compute-0-1.local.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
data_20140825_113047_105368_compute-0-2.local.h5	0.1	0.1	0.1	0.05	80	True	True	20.0
