dbcount,filename,premean,premedian,prestd,postmean,postmedian,poststd
70,data_20140725_170241_46170_compute-0-2.local.h5,1.9444444444444446,0.0,3.88166717627105,17.777777777777779,16.666666666666668,10.183501544346312
70,data_20140725_170241_53507_compute-0-3.local.h5,3.5897435897435903,0.0,5.3509325012074882,19.487179487179489,16.666666666666668,16.264375626808256
70,data_20140725_170241_59649_compute-0-1.local.h5,1.2121212121212122,0.0,2.2473328748774737,10.909090909090908,13.333333333333334,10.337731224436379
70,data_20140725_170241_60010_compute-0-4.local.h5,0.0,0.0,0.0,8.0,6.666666666666667,7.3246702076471442
70,data_20140725_170241_77328_compute-0-0.local.h5,10.833333333333334,0.0,22.61335084333227,4.7222222222222223,3.3333333333333335,9.2614475528618527
70,data_20140725_173200_47257_compute-0-2.local.h5,4.5238095238095237,1.6666666666666667,5.6397767515285402,7.8571428571428568,6.666666666666667,5.9351398657390737
70,data_20140725_173200_47258_compute-0-2.local.h5,1.3888888888888891,0.0,2.6432048703291966,12.777777777777779,8.3333333333333339,10.524942316916079
70,data_20140725_173200_54594_compute-0-3.local.h5,2.2222222222222223,0.0,6.862211530545169,14.444444444444446,13.333333333333334,15.361602650076458
70,data_20140725_173200_54595_compute-0-3.local.h5,5.416666666666667,3.3333333333333335,10.532137766186215,10.833333333333334,5.0,15.846485765339619
70,data_20140725_173200_60857_compute-0-1.local.h5,0.0,0.0,0.0,4.166666666666667,3.3333333333333335,2.8867513459481287
70,data_20140725_173200_60858_compute-0-1.local.h5,3.0769230769230775,0.0,6.8666583685951013,8.717948717948719,6.666666666666667,8.7705801930702929
70,data_20140725_173200_61096_compute-0-4.local.h5,0.27777777777777779,0.0,0.96225044864937614,11.944444444444445,5.0,14.031590141018299
70,data_20140725_173200_61097_compute-0-4.local.h5,4.666666666666667,0.0,15.420044674960504,10.444444444444446,10.0,8.5325396456291251
70,data_20140725_173200_78536_compute-0-0.local.h5,1.0256410256410258,0.0,1.6012815380508714,17.948717948717949,20.0,7.141228955659594
70,data_20140725_173200_78537_compute-0-0.local.h5,1.2121212121212122,0.0,2.6967994498529686,13.939393939393939,10.0,12.09390864289235
40,data_20140722_224200_172254_compute-0-4.local.h5,8.7179487179487172,0.0,24.703368398993895,20.76923076923077,20.0,15.162932760997458
40,data_20140722_224333_158822_compute-0-2.local.h5,0.25641025641025644,0.0,0.92450032704204854,6.1538461538461542,3.3333333333333335,6.9183269555036118
40,data_20140722_224333_166161_compute-0-3.local.h5,0.23809523809523811,0.0,0.89087080637474791,6.4285714285714288,3.3333333333333335,7.3338328168225777
40,data_20140722_224333_171891_compute-0-1.local.h5,0.88888888888888895,0.0,1.9787227990155463,4.666666666666667,3.3333333333333335,3.9440531887330774
40,data_20140722_224333_172425_compute-0-4.local.h5,1.1111111111111112,0.0,2.9587512153286486,4.7222222222222223,5.0,3.6120822315027721
40,data_20140722_224333_172426_compute-0-4.local.h5,1.2820512820512822,0.0,2.8990616420763469,17.179487179487179,10.0,25.307229015754384
40,data_20140722_224333_189411_compute-0-0.local.h5,0.27777777777777779,0.0,0.96225044864937614,15.833333333333336,16.666666666666668,13.113721705515067
40,data_20140824_120541_32136_compute-0-34.local.h5,15.000000000000002,8.3333333333333339,27.761611457317652,31.666666666666671,26.666666666666668,29.797294975866315
40,data_20140824_120610_32276_compute-0-34.local.h5,5.4545454545454541,0.0,16.005049708189478,5.1515151515151523,3.3333333333333335,7.3580849506793653
40,data_20140824_120757_32478_compute-0-34.local.h5,2.5,0.0,5.8818330132671726,25.277777777777782,30.0,15.005610622975333
