dbcount,filename,premean,premedian,prestd,postmean,postmedian,poststd
70,data_20140725_170241_46170_compute-0-2.local.h5,21.785714285714281,22.142857142857139,3.711537444790451,107.97619047619047,109.28571428571428,7.4718602178044939
70,data_20140725_170241_53507_compute-0-3.local.h5,21.648351648351646,18.571428571428569,11.36659016840648,106.04395604395603,105.71428571428571,6.5764433803783202
70,data_20140725_170241_59649_compute-0-1.local.h5,9.4805194805194777,11.428571428571427,4.5746741725271143,84.545454545454518,84.285714285714278,9.3201160940956704
70,data_20140725_170241_60010_compute-0-4.local.h5,9.4285714285714253,8.5714285714285712,3.1391443747059187,87.523809523809504,88.571428571428569,15.199994885171254
70,data_20140725_170241_77328_compute-0-0.local.h5,19.761904761904759,17.142857142857142,12.614350183437985,102.14285714285711,99.999999999999986,8.0697331859251857
70,data_20140725_173200_47257_compute-0-2.local.h5,18.26530612244898,17.142857142857142,5.5802570634667834,92.857142857142861,96.428571428571416,20.365575658437177
70,data_20140725_173200_47258_compute-0-2.local.h5,15.952380952380954,15.0,4.4693693998600841,100.23809523809523,99.285714285714278,9.3941388851082319
70,data_20140725_173200_54594_compute-0-3.local.h5,14.095238095238095,14.285714285714285,3.4092425681140686,86.285714285714292,85.714285714285708,16.508677813461862
70,data_20140725_173200_54595_compute-0-3.local.h5,13.571428571428569,12.857142857142856,7.4322335295720636,86.696428571428569,87.142857142857139,18.798746158796259
70,data_20140725_173200_60857_compute-0-1.local.h5,18.333333333333329,18.571428571428569,3.4904233325196956,101.66666666666667,102.14285714285714,7.9149780121356752
70,data_20140725_173200_60858_compute-0-1.local.h5,12.637362637362637,11.428571428571427,5.1786503720141726,96.483516483516482,94.285714285714278,7.8379719501250555
70,data_20140725_173200_61096_compute-0-4.local.h5,11.309523809523808,9.2857142857142847,6.3145246864731748,94.880952380952365,94.999999999999986,8.1829347138938555
70,data_20140725_173200_61097_compute-0-4.local.h5,13.904761904761902,11.428571428571427,13.175941794682867,93.333333333333314,98.571428571428555,19.450667706966811
70,data_20140725_173200_78536_compute-0-0.local.h5,24.725274725274723,24.285714285714285,5.1963034802359953,110.98901098901098,109.99999999999999,7.5002180327631027
70,data_20140725_173200_78537_compute-0-0.local.h5,14.545454545454545,14.285714285714285,4.0817254163855861,95.844155844155836,95.714285714285708,12.911860477942566
40,data_20140722_224200_172254_compute-0-4.local.h5,25.0,20.0,17.52973663996886,108.26923076923077,110.0,5.8080955879680873
40,data_20140722_224333_158822_compute-0-2.local.h5,9.8076923076923084,10.0,6.3296210442729164,85.0,82.5,9.7361012046232691
40,data_20140722_224333_166161_compute-0-3.local.h5,16.25,15.0,4.975903474206004,95.892857142857139,101.25,20.512827667123293
40,data_20140722_224333_171891_compute-0-1.local.h5,13.5,15.0,6.6008657440845262,92.5,92.5,19.015970731391622
40,data_20140722_224333_172425_compute-0-4.local.h5,15.416666666666666,15.0,4.6261771638703104,98.541666666666671,97.5,9.6800129914763815
40,data_20140722_224333_172426_compute-0-4.local.h5,15.384615384615385,12.5,7.4893086189409761,95.57692307692308,95.0,13.962518507666267
40,data_20140722_224333_189411_compute-0-0.local.h5,12.291666666666666,12.5,6.4366081318054649,91.041666666666671,90.0,7.4206662691963103
40,data_20140824_120541_32136_compute-0-34.local.h5,11.041666666666666,7.5,15.354090857507849,95.833333333333329,100.0,11.197266982562658
40,data_20140824_120610_32276_compute-0-34.local.h5,31.136363636363637,25.0,17.831279972412116,107.95454545454545,107.5,12.738631295108879
40,data_20140824_120757_32478_compute-0-34.local.h5,22.083333333333332,20.0,7.8937067376870589,109.79166666666667,110.0,6.2575711717644067
40,data_20140824_120810_32061_compute-0-35.local.h5,14.615384615384615,12.5,11.674676737412344,89.230769230769226,87.5,11.42842834159511
